UPC,Name,Link,Current Price,Regular Price,Sale Price
400288402075,Girls 6-20 SO® Denim Midi Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5842142/girls-6-20-so-denim-midi-shorts-in-regular-plus-size.jsp?color=Dark Wash&prdPV=49,17.99,30.00,17.99
400556080332,Baby & Toddler Little Co. by Lauren Conrad Organic Graphic Tee,https://www.kohls.com/product/prd-5939410/baby-toddler-little-co-by-lauren-conrad-organic-graphic-tee.jsp?color=Navy Follow Wave&prdPV=50,10.80,18.00 Orig,10.80
400469131787,Toddler Girl Jumping Beans® French Terry Zip-Up Sweatshirt,https://www.kohls.com/product/prd-5590157/toddler-girl-jumping-beans-french-terry-zip-up-sweatshirt.jsp?color=Hot Pink&prdPV=51,8.99,18.00,8.99
400579712524,Toddler Boy Jumping Beans® Essential Knit Jersey Short 3-Pack Set,https://www.kohls.com/product/prd-5257619/toddler-boy-jumping-beans-essential-knit-jersey-short-3-pack-set.jsp?prdPV=52,6.00,24.00,6.00
400304267633,Boys 4-12 Jumping Beans® Woven Tech Shorts,https://www.kohls.com/product/prd-5833749/boys-4-12-jumping-beans-woven-tech-shorts.jsp?color=Olive&prdPV=53,13.99,22.00,13.99
089129731637,Girls SO® 2-Pack Racerback Sports Bras,https://www.kohls.com/product/prd-5192263/girls-so-2-pack-racerback-sports-bras.jsp?color=Gray Clearwater&prdPV=54,14.40,18.00,14.40
400767699880,Girls 6-20 SO® Midrise Cuffed Bermuda Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5918419/girls-6-20-so-midrise-cuffed-bermuda-shorts-in-regular-plus-size.jsp?color=Medium Floral&prdPV=56,17.99,30.00,17.99
400286919070,Girls 4-12 Jumping Beans® Midi Jegging Shorts,https://www.kohls.com/product/prd-5855532/girls-4-12-jumping-beans-midi-jegging-shorts.jsp?color=Dark Wash Denim&prdPV=57,9.99,16.00,9.99
196019118406,Toddler Boy Jumping Beans® Rash Guard Top & Swim Trunks Set,https://www.kohls.com/product/prd-5874996/toddler-boy-jumping-beans-rash-guard-top-swim-trunks-set.jsp?color=Surf Dino Lime&prdPV=58,15.99,32.00,15.99
195365425923,Girls 7-16 ZeroXposur Tie Dyed Keyhole Tankini with Bikini & Shorts in Regular & Plus,https://www.kohls.com/product/prd-5868836/girls-7-16-zeroxposur-tie-dyed-keyhole-tankini-with-bikini-shorts-in-regular-plus.jsp?prdPV=59,24.00 - 26.00,48.00 - 52.00,24.00 - 26.00
400503083171,Girls 4-12 Jumping Beans® Dolphin Shorts,https://www.kohls.com/product/prd-5825289/girls-4-12-jumping-beans-dolphin-shorts.jsp?color=Light Blue Denim&prdPV=60,9.99,16.00,9.99
400719526103,Baby & Toddler Little Co. by Lauren Conrad Organic French Terry Roll-Cuff Shorts,https://www.kohls.com/product/prd-5815995/baby-toddler-little-co-by-lauren-conrad-organic-french-terry-roll-cuff-shorts.jsp?color=Gray&prdPV=61,10.80,18.00 Orig,10.80
400731454217,Girls 4-12 Jumping Beans® Flutter Sleeve Tee,https://www.kohls.com/product/prd-5848421/girls-4-12-jumping-beans-flutter-sleeve-tee.jsp?color=Ivory&prdPV=62,6.99,12.00,6.99
400288180010,Toddler Boy Jumping Beans® Active Vented Tech Shorts,https://www.kohls.com/product/prd-5829808/toddler-boy-jumping-beans-active-vented-tech-shorts.jsp?color=Black Red&prdPV=63,8.99,16.00,8.99
195365398104,Boys 4-20 ZeroXposur Graphic UPF Sun Top,https://www.kohls.com/product/prd-5813888/boys-4-20-zeroxposur-graphic-upf-sun-top.jsp?color=White&prdPV=64,14.00,28.00,14.00
400300653041,Boys 4-12 Jumping Beans® Flat Front Poplin Shorts,https://www.kohls.com/product/prd-5811007/boys-4-12-jumping-beans-flat-front-poplin-shorts.jsp?color=Canyon Sand&prdPV=65,10.99,18.00,10.99
196601410406,Boys 4-7 Under Armour Tee & Shorts Set,https://www.kohls.com/product/prd-5811311/boys-4-7-under-armour-tee-shorts-set.jsp?color=Glacier Blue&prdPV=66,25.20,42.00,25.20
196258451234,Girls 7-16 Maidenform® 2-pk. Seamless Ruched Cropped Bras,https://www.kohls.com/product/prd-2965144/girls-7-16-maidenform-2-pk-seamless-ruched-cropped-bras.jsp?color=Heather Gray White&prdPV=67,16.00,20.00,16.00
194955983133,Boys 8-20 Nike Tracksuit,https://www.kohls.com/product/prd-5582894/boys-8-20-nike-tracksuit.jsp?color=Black White&prdPV=68,37.50,50.00,37.50
400819173283,Toddler Girl Jumping Beans® 2 Pack Dress Shorties,https://www.kohls.com/product/prd-5805197/toddler-girl-jumping-beans-2-pack-dress-shorties.jsp?color=Black Pink&prdPV=69,7.99,16.00,7.99
400495889201,Boys 8-20 Sonoma Goods For Life® Button-Up Top in Regular & Husky,https://www.kohls.com/product/prd-5851392/boys-8-20-sonoma-goods-for-life-button-up-top-in-regular-husky.jsp?color=Blue Shark&prdPV=70,18.99,24.00,18.99
400374598705,Girls 4-12 Jumping Beans® Patterned Tiered Skort,https://www.kohls.com/product/prd-5855940/girls-4-12-jumping-beans-patterned-tiered-skort.jsp?color=Blue Unicorn&prdPV=72,6.99,12.00,6.99
400592105945,Boys 4-12 Jumping Beans® Pull On Denim Shorts,https://www.kohls.com/product/prd-5811013/boys-4-12-jumping-beans-pull-on-denim-shorts.jsp?color=Med Wash&prdPV=73,10.99,18.00,10.99
194931339138,Girls 4-16 IZOD Performance Scooter Skort in Regular & Plus Size,https://www.kohls.com/product/prd-5526866/girls-4-16-izod-performance-scooter-skort-in-regular-plus-size.jsp?color=Navy&prdPV=74,19.50,26.00,19.50
400754727466,Girls 4-12 Jumping Beans® Shirttail Graphic Tee,https://www.kohls.com/product/prd-6143206/girls-4-12-jumping-beans-shirttail-graphic-tee.jsp?color=Berry Unicorn&prdPV=75,7.99,12.00,7.99
196019134994,Girls 4-18 SO® French Terry Tie Dye Swim Cover Up in Regular & Plus Size,https://www.kohls.com/product/prd-5941355/girls-4-18-so-french-terry-tie-dye-swim-cover-up-in-regular-plus-size.jsp?prdPV=76,18.00,36.00,18.00
099909357520,"Boys 6-20 Nike Shift Breaker 7"" Volley Short Swim Trunks",https://www.kohls.com/product/prd-5811765/boys-6-20-nike-shift-breaker-7-volley-short-swim-trunks.jsp?color=Black&prdPV=77,26.40,44.00,26.40
765803911808,"Boys 7-20 Sonoma Goods For Life® Everyday Straight Jeans in Regular, Slim & Husky",https://www.kohls.com/product/prd-4992668/boys-7-20-sonoma-goods-for-life-flexwear-straight-jeans-in-regular-slim-husky.jsp?color=Dark Rinse&prdPV=78,17.99,19.99,17.99
400582237915,Girls 6-20 SO® Denim Shortalls in Regular & Plus Size,https://www.kohls.com/product/prd-5840160/girls-6-20-so-denim-shortalls-in-regular-plus-size.jsp?color=Light Wash&prdPV=79,29.99,40.00,29.99
400590276319,Girls 6-20 SO® High-Neck Knot-Front Tank Top in Regular & Plus Size,https://www.kohls.com/product/prd-5949840/girls-6-20-so-high-neck-knot-front-tank-top-in-regular-plus-size.jsp?color=Stars&prdPV=80,7.99,14.00,7.99
400372712837,Toddler Boy Jumping Beans® Pull On Denim Shorts,https://www.kohls.com/product/prd-5809494/toddler-boy-jumping-beans-pull-on-denim-shorts.jsp?color=Light Wash&prdPV=81,8.99,16.00,8.99
195365397428,Boys 8-20 ZeroXposur Marine Sun Top & Shorts Set,https://www.kohls.com/product/prd-5813880/boys-8-20-zeroxposur-marine-sun-top-shorts-set.jsp?color=Blue&prdPV=82,24.00,48.00,24.00
400710102061,Toddler Girl Jumping Beans® Dolphin-Hem Shortie Shorts,https://www.kohls.com/product/prd-5809717/toddler-girl-jumping-beans-dolphin-hem-shortie-shorts.jsp?color=Light Blue Denim&prdPV=83,7.99,14.00,7.99
742728409801,Baby Nike Logo Zip Footed Sleep & Play,https://www.kohls.com/product/prd-5893025/baby-nike-logo-zip-footed-sleep-play.jsp?color=Midnight Navy&prdPV=84,9.99,20.00,9.99
400298567610,Boys 8-20 Sonoma Goods For Life® Flexwear Cargo Shorts in Regular & Husky,https://www.kohls.com/product/prd-5960666/boys-8-20-sonoma-goods-for-life-flexwear-cargo-shorts-in-regular-husky.jsp?color=Kashmir Gray&prdPV=85,16.99,34.00,16.99
194931281642,Boys 4-20 IZOD Stretch Dress Pants in Regular & Husky,https://www.kohls.com/product/prd-3770255/boys-4-20-izod-stretch-dress-pants-in-regular-husky.jsp?color=Black&prdPV=87,30.00,40.00,30.00
400580849349,Girls 6-20 SO® Off-The-Shoulder Swing Top in Regular & Plus Size,https://www.kohls.com/product/prd-5819506/girls-6-20-so-off-the-shoulder-swing-top-in-regular-plus-size.jsp?color=Coral&prdPV=88,14.99,25.00 Orig,14.99
617844179887,Boys 4-7 Nike Mesh Shorts,https://www.kohls.com/product/prd-3215087/boys-4-7-nike-core-mesh-shorts.jsp?color=Cool Gray&prdPV=89,12.99,20.00,12.99
400182035454,Girls 6-20 SO® Ultimate Pull-On Midi Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5990496/girls-6-20-so-ultimate-pull-on-midi-shorts-in-regular-plus-size.jsp?color=Medium Wash&prdPV=90,12.99,24.00,12.99
400546166145,Girls 4-12 Jumping Beans® Core Leggings,https://www.kohls.com/product/prd-5099241/girls-4-12-jumping-beans-core-leggings.jsp?color=Black&prdPV=91,5.99,6.99 Orig,5.99
400731810174,Boys 8-20 Sonoma Goods For Life® Flexwear Pull-On Tech Shorts,https://www.kohls.com/product/prd-5881613/boys-8-20-sonoma-goods-for-life-flexwear-pull-on-tech-shorts.jsp?color=Gray&prdPV=93,16.99,34.00,16.99
195365425763,Girls 4-16 ZeroXposur Tie Dyed Swimsuit & Rash Guard Top Set in Regular & Plus,https://www.kohls.com/product/prd-5868113/girls-4-16-zeroxposur-tie-dyed-swimsuit-rash-guard-top-set-in-regular-plus.jsp?prdPV=94,24.00 - 26.00,48.00 - 52.00,24.00 - 26.00
400592550400,Girls 4-12 Jumping Beans® Embroidered Denim Shorts,https://www.kohls.com/product/prd-5836424/girls-4-12-jumping-beans-embroidered-denim-shorts.jsp?color=Medium Wash Rainbow&prdPV=96,14.40,24.00,14.40
196601414329,Boys 8-20 Under Armour Texture Maze Board Shorts,https://www.kohls.com/product/prd-5811297/boys-8-20-under-armour-texture-maze-board-shorts.jsp?color=Neon Yellow&prdPV=99,24.00,40.00,24.00
400713337613,Toddler Girl Jumping Beans® Printed Flutter Swing Top,https://www.kohls.com/product/prd-5866022/toddler-girl-jumping-beans-printed-flutter-swing-top.jsp?color=Blue Butterfly&prdPV=100,6.99,12.00,6.99
195365397923,Boys 4-20 ZeroXposur Guard Swim Shorts,https://www.kohls.com/product/prd-5813875/boys-4-20-zeroxposur-guard-swim-shorts.jsp?color=Deep Aqua&prdPV=101,16.00,32.00,16.00
400375130881,Girls 6-20 SO® Smocked High Neck Midi Dress in Regular & Plus Size,https://www.kohls.com/product/prd-5965913/girls-6-20-so-smocked-high-neck-midi-dress-in-regular-plus-size.jsp?color=Navy Daisy&prdPV=102,19.99,34.00,19.99
400392111825,Boys 8-20 Tek Gear® Soft Tek Graphic Hoodie in Regular & Husky,https://www.kohls.com/product/prd-5215393/boys-8-20-tek-gear-soft-tek-graphic-hoodie-in-regular-husky.jsp?color=Gray Level Up&prdPV=103,5.62 - 18.75,25.00,5.62 - 18.75
196027253250,"Toddler Boy PAW Patrol ""Paw Friends"" 4 Piece Pajama Set",https://www.kohls.com/product/prd-5758013/toddler-boy-paw-patrol-paw-friends-4-piece-pajama-set.jsp?prdPV=104,24.00,40.00,24.00
400535356403,Baby & Toddler Little Co. by Lauren Conrad Lettuce Edge Tank Top & Shorts Set,https://www.kohls.com/product/prd-5945368/baby-toddler-little-co-by-lauren-conrad-lettuce-edge-tank-top-shorts-set.jsp?color=Lilac&prdPV=105,18.00,30.00 Orig,18.00
400819389028,Boys 4-12 Jumping Beans® Performance Polo,https://www.kohls.com/product/prd-5827278/boys-4-12-jumping-beans-performance-polo.jsp?color=Citrus Orange&prdPV=106,9.99,16.00,9.99
400726669213,Girls 4-12 Jumping Beans® Leggings,https://www.kohls.com/product/prd-5229731/girls-4-12-jumping-beans-leggings.jsp?color=Unicorns Gray&prdPV=107,5.99,6.99,5.99
400725138697,Boys 8-20 Sonoma Goods For Life® Everyday Cargo Shorts,https://www.kohls.com/product/prd-5224586/boys-8-20-sonoma-goods-for-life-everyday-cargo-shorts.jsp?color=Carey Olive&prdPV=108,5.85 - 12.99,26.00,5.85 - 12.99
